# bert_prediction,  crf_prediction
#此开卷第一回也．作者自云：因曾历过一番梦幻之后，故将真事隐去，而借"通灵"之说，撰此《石头记》一书也．故曰"甄士隐"云云．但书中所记何事何人？自又云：   |||  作者  ||| 作者自云
#邢夫人答应了一声"是"字，遂带了黛玉与王夫人作辞，大家送至穿堂前．出了垂花门，早有众小厮们拉过一辆翠幄青н车*，邢夫人携了黛玉，坐在上面，众婆子们放下车帘，方命小厮们抬起，拉至宽处，方驾上驯骡，亦出了西角门，往东过荣府正门，便入一黑油大门中，至仪门前方下来．众小厮退出，方打起车帘，邢夫人搀着黛玉的手，进入院中．黛玉度其房屋院宇，必是荣府中花园隔断过来的．进入三层仪门，果见正房厢庑游廊，悉皆小巧别致，不似方才那边轩峻壮丽，且院中随处之树木山石皆在．一时进入正室，早有许多盛妆丽服之姬妾丫鬟迎着，邢夫人让黛玉坐了，一面命人到外面书房去请贾赦．一时人来回话说：   |||  人  ||| 邢夫人邢夫人
1 0
#一时黛玉进了荣府，下了车．众嬷嬷引着，便往东转弯，穿过一个东西的穿堂，向南大厅之后，仪门内大院落，上面五间大正房，两边厢房鹿顶耳房钻山，四通八达，轩昂壮丽，比贾母处不同．黛玉便知这方是正经正内室，一条大甬路，直接出大门的．进入堂屋中，抬头迎面先看见一个赤金九龙青地大匾，匾上写着斗大的三个大字，是"荣禧堂"，后有一行小字：   |||  黛玉  ||| 
0 1
#座上珠玑昭日月，堂前黼黻焕烟霞．下面一行小字，道是：   |||  小字  ||| 
1 0
#茶未吃了，只见一个穿红绫袄青缎掐牙背心的丫鬟走来笑说道：   |||  丫鬟  ||| 
1 0
#老嬷嬷听了，于是又引黛玉出来，到了东廊三间小正房内．正房炕上横设一张炕桌，桌上磊着书籍茶具，靠东壁面西设着半旧的青缎靠背引枕．王夫人却坐在西边下首，亦是半旧的青缎靠背坐褥．见黛玉来了，便往东让．黛玉心中料定这是贾政之位．因见挨炕一溜三张椅子上，也搭着半旧的弹墨椅袱，黛玉便向椅上坐了．王夫人再四携他上炕，他方挨王夫人坐了．王夫人因说：   |||  王夫人  ||| 老嬷嬷王夫人
1 0
#黛玉一一的都答应着．只见一个丫鬟来回：   |||  丫鬟  ||| 黛玉一个丫鬟
1 0
#黛玉方告了座，坐了．贾母命王夫人坐了．迎春姊妹三个告了座方上来．迎春便坐右手第一，探春左第二，惜春右第二．旁边丫鬟执着拂尘，漱盂，巾帕．李，凤二人立于案旁布让．外间伺候之媳妇丫鬟虽多，却连一声咳嗽不闻．寂然饭毕，各有丫鬟用小茶盘捧上茶来．当日林如海教女以惜福养身，云饭后务待饭粒咽尽，过一时再吃茶，方不伤脾胃．今黛玉见了这里许多事情不合家中之式，不得不随的，少不得一一改过来，因而接了茶．早见人又捧过漱盂来，黛玉也照样漱了口．プ手毕，又捧上茶来，这方是吃的茶．贾母便说：   |||  贾母  ||| 凤二人媳妇丫鬟贾母
1 0
#王夫人听了，忙起身，又说了两句闲话，方引凤，李二人去了．贾母因问黛玉念何书．黛玉道：   |||  黛玉  ||| 王夫人贾母黛玉
1 0
#黛玉又问姊妹们读何书．贾母道：   |||  贾母  ||| 黛玉贾母
1 0
#____倒不见那蠢物也罢了．心中想着，忽见丫鬟话未报完，已进来了一位年轻的公子：头上戴着束发嵌宝紫金冠，齐眉勒着二龙抢珠金抹额，穿一件二色金百蝶穿花大红箭袖，束着五彩丝攒花结长穗宫绦，外罩石青起花八团倭锻排穗褂，登着青缎粉底小朝靴．面若中秋之月，色如春晓之花，鬓若刀裁，眉如墨画，面如桃瓣，目若秋波．虽怒时而若笑，即?视而有情．项上金螭璎珞，又有一根五色丝绦，系着一块美玉．黛玉一见，便吃一大惊，心下想道：   |||  黛玉  ||| 丫鬟话未报完，
1 0
#只见这宝玉向贾母请了安，贾母便命：   |||  贾母  ||| 
1 0
#宝玉早已看见多了一个姊妹，便料定是林姑妈之女，忙来作揖．厮见毕归坐，细看形容，与众各别：两弯似蹙非蹙ズ烟眉，一双似喜非喜含情目．态生两ь之愁，娇袭一身之病．泪光点点，娇喘微微．闲静时如姣花照水，行动处似弱柳扶风．心较比干多一窍，病如西子胜三分．宝玉看罢，因笑道：   |||  宝玉  ||| 宝玉宝玉
1 0
#黛玉便说了名．宝玉又问表字．黛玉道：   |||  黛玉  ||| 黛玉黛玉
1 0
#又问黛玉：   |||  黛玉  ||| 
0 1
#吓的众人一拥争去拾玉．贾母急的搂了宝玉道：   |||  贾母  ||| 
1 0
#是晚，宝玉李嬷嬷已睡了，他见里面黛玉和鹦哥犹未安息，他自卸了妆，悄悄进来，笑问：   |||  他  ||| 
1 0
#雨村因问方才何故有不令发签之意．这门子道：   |||  门子  ||| 雨村门子
1 0
#雨村犹未看完，忽听传点，人报：   |||  人  ||| 
1 0
#雨村听说，忙具衣冠出去迎接．有顿饭工夫，方回来细问．这门子道：   |||  门子  ||| 雨村门子
1 0
#雨村听如此说，便笑问门子道：   |||  雨村  ||| 
1 0
#因和母亲商议道：   |||  因  ||| 
0 1
#他母亲道：   |||  他母亲  ||| 
1 0
#他母亲道：   |||  他母亲  ||| 
1 0
#薛蟠已拜见过贾政，贾琏又引着拜见了贾赦，贾珍等．贾政便使人上来对王夫人说：   |||  人  ||| 贾政
1 1
#王夫人未及留，贾母也就遣人来说：   |||  贾母  ||| 
1 0
#等语．薛姨妈正要同居一处，方可拘紧些儿子，若另住在外，又恐他纵性惹祸，遂忙道谢应允．又私与王夫人说明：   |||  薛姨妈  ||| 
1 0
#又向宝玉的奶娘丫鬟等道：   |||  宝玉  ||| 奶娘丫鬟
0 0
#世事洞明皆学问，人情练达即文章．及看了这两句，纵然室宇精美，铺陈华丽，亦断断不肯在这里了，忙说：   |||  人  ||| 
0 1
#宝玉点头微笑．有一个嬷嬷说道：   |||  嬷嬷  ||| 宝玉有一个嬷嬷
1 0
#宝玉见是一个仙姑，喜的忙来作揖问道：   |||  宝玉  ||| 
1 0
#宝玉只顾如此一想，不料早把些邪魔招入膏肓了．当下随了仙姑进入二层门内，至两边配殿，皆有匾额对联，一时看不尽许多，惟见有几处写的是：   |||  有几处  ||| 仙姑
1 0
#，"结怨司"，"朝啼司"，"夜怨司"，"春感司"，"秋悲司"．看了，因向仙姑道：   |||  ．  ||| 
0 0
#宝玉听了，那里肯依，复央之再四．仙姑无奈，说：   |||  仙姑  ||| 宝玉仙姑
1 0
#宝玉看了，便知感叹．进入门来，只见有十数个大厨，皆用封条封着．看那封条上，皆是各省的地名．宝玉一心只拣自己的家乡封条看，遂无心看别省的了．只见那边厨上封条上大书七字云：   |||  宝玉  ||| 宝玉厨上封条
0 0
#宝玉听了，自是羡慕而已．大家入座，小丫鬟捧上茶来．宝玉自觉清香异味，纯美非常，因又问何名．警幻道：   |||  警幻  ||| 宝玉警幻
1 0
#幽微灵秀地，无可奈何天．宝玉看毕，无不羡慕．因又请问众仙姑姓名：一名痴梦仙姑，一名钟情大士，一名引愁金女，一名度恨菩提，各各道号不一．少刻，有小丫鬟来调桌安椅，设摆酒馔．真是：琼浆满泛玻璃盏，玉液浓斟琥珀杯．更不用再说那肴馔之盛．宝玉因闻得此酒清香甘冽，异乎寻常，又不禁相问．警幻道：   |||  警幻  ||| 宝玉警幻
1 0
#按荣府中一宅人合算起来，人口虽不多，从上至下也有三四百丁，虽事不多，一天也有一二十件，竟如乱麻一般，并无个头绪可作纲领．正寻思从那一件事自那一个人写起方妙，恰好忽从千里之外，芥щ之微，小小一个人家，因与荣府略有些瓜葛，这日正往荣府中来，因此便就此一家说来，倒还是头绪．你道这一家姓甚名谁，又与荣府有甚瓜葛？且听细讲．方才所说的这小小之家，乃本地人氏，姓王，祖上曾作过小小的一个京官，昔年与凤姐之祖王夫人之父认识．因贪王家的势利，便连了宗认作侄儿．那时只有王夫人之大兄凤姐之父与王夫人随在京中的，知有此一门连宗之族，余者皆不认识．目今其祖已故，只有一个儿子，名唤王成，因家业萧条，仍搬出城外原乡中住去了．王成新近亦因病故，只有其子，小名狗儿．狗儿亦生一子，小名板儿，嫡妻刘氏，又生一女，名唤青儿．一家四口，仍以务农为业．因狗儿白日间又作些生计，刘氏又操井臼等事，青板姊妹两个无人看管，狗儿遂将岳母刘姥姥接来一处过活．这刘姥姥乃是个积年的老寡妇，膝下又无儿女，只靠两亩薄田度日．今者女婿接来养活，岂不愿意，遂一心一计，帮趁着女儿女婿过活起来．因这年秋尽冬初，天气冷将上来，家中冬事未办，狗儿未免心中烦虑，吃了几杯闷酒，在家闲寻气恼，刘氏也不敢顶撞．因此刘姥姥看不过，乃劝道：   |||  刘姥姥  ||| 有一个儿子刘氏作些生刘氏刘姥姥，岂刘氏
1 0
#狗儿听说，便急道：   |||  狗儿  ||| 
1 0
#狗儿冷笑道：   |||  狗儿  ||| 
1 0
#谁知狗儿利名心最重，听如此一说，心下便有些活动起来．又听他妻子这话，便笑接道：   |||  狗儿  ||| 有些活动起
1 0
#狗儿笑道：   |||  狗儿  ||| 
1 0
#次日天未明，刘姥姥便起来梳洗了，又将板儿教训了几句．那板儿才五六岁的孩子，一无所知，听见刘姥姥带他进城逛去，便喜的无不应承．于是刘姥姥带他进城，找至宁荣街．来至荣府大门石狮子前，只见簇簇轿马，刘姥姥便不敢过去，且掸了掸衣服，又教了板儿几句话，然后蹭到角门前．只见几个挺胸叠肚指手画脚的人，坐在大板凳上，说东谈西呢．刘姥姥只得蹭上来问：   |||  刘姥姥  ||| 的人刘姥姥
1 0
#众人打量了他一会，便问"那里来的？"刘姥姥陪笑道：   |||  刘姥姥  ||| 
1 0
#内中有一老年人说道：   |||  老年人  ||| 
1 0
#因向刘姥姥道：   |||  因  ||| 
0 1
#孩子们道：   |||  孩子们  ||| 
1 0
#孩子道：   |||  孩子  ||| 
1 0
#说着，跳蹿蹿的引着刘姥姥进了后门，至一院墙边，指与刘姥姥道：   |||  刘姥姥  ||| 
0 1
#又叫道：   |||  又  ||| 
0 1
#周瑞家的在内听说，忙迎了出来，问：   |||  周瑞家的  ||| 
1 0
#刘姥姥忙迎上来问道：   |||  刘姥姥  ||| 
1 0
#周瑞家的认了半日，方笑道：   |||  周瑞家的  ||| 
1 0
#刘姥姥一壁里走着，一壁笑说道：   |||  刘姥姥  ||| 
1 0
#又问些别后闲话．又问刘姥姥：   |||  刘姥姥  ||| 
1 0
#说着，只见小丫头回来说：   |||  小丫头  ||| 
1 0
#刘姥姥只听见咯当咯当的响声，大有似乎打箩柜筛面的一般，不免东瞧西望的．忽见堂屋中柱子上挂着一个匣子，底下又坠着一个秤砣般一物，却不住的乱幌．刘姥姥心中想着：   |||  刘姥姥  ||| 刘姥姥刘姥姥
1 0
#只见门外錾铜钩上悬着大红撒花软帘，南窗下是炕，炕上大红毡条，靠东边板壁立着一个锁子锦靠背与一个引枕，铺着金心绿闪缎大坐褥，旁边有雕漆痰盒．那凤姐儿家常带着秋板貂鼠昭君套，围着攒珠勒子，穿着桃红撒花袄，石青刻丝灰鼠披风，大红洋绉银鼠皮裙，粉光脂艳，端端正正坐在那里，手内拿着小铜火箸儿拨手炉内的灰．平儿站在炕沿边，捧着小小的一个填漆茶盘，盘内一个小盖钟．凤姐也不接茶，也不抬头，只管拨手炉内的灰，慢慢的问道：   |||  凤姐  ||| 
1 0
#这里凤姐叫人抓些果子与板儿吃，刚问些闲话时，就有家下许多媳妇管事的来回话．平儿回了，凤姐道：   |||  凤姐  ||| 平儿凤姐
1 0
#刚说到这里，只听二门上小厮们回说：   |||  小厮们  ||| 
1 0
#一面便问：   |||  一面  ||| 
0 1
#凤姐道：-说迟了一日，昨儿已经给了人了。”贾蓉听着，嘻嘻的笑着，在炕沿上半跪道：-婶子若不借，又说我不会说话了，又挨一顿好打呢．婶子只当可怜侄儿罢。”凤姐笑道：   |||  凤姐  ||| 凤姐凤姐
1 0
#这里刘姥姥心神方定，才又说道：   |||  刘姥姥  ||| 
1 0
#说着又推板儿道：   |||  板儿  ||| 
0 1
#因问周瑞家的：   |||  因  ||| 
1 0
#凤姐听说，忙命快传饭来．一时周瑞家的传了一桌客饭来，摆在东边屋内，过来带了刘姥姥和板儿过去吃饭．凤姐说道：   |||  凤姐  ||| 凤姐凤姐
1 0
#周瑞家的见他说的粗鄙，只管使眼色止他．凤姐看见，笑而不睬，只命平儿把昨儿那包银子拿来，再拿一吊钱来，都送到刘姥姥的跟前．凤姐乃道：   |||  凤姐  ||| 凤姐凤姐
1 0
#一面炕沿上坐了，因说：   |||  一面  ||| 
0 1
#周瑞家的又问道：   |||  周瑞家的  ||| 
1 0
#周瑞家的还欲说话时，忽听王夫人问：   |||  王夫人  ||| 
1 0
#周瑞家的忙出去答应了，趁便回了刘姥姥之事．略待半刻，见王夫人无语，方欲退出，薛姨妈忽又笑道：   |||  薛姨妈  ||| 周瑞家的薛姨妈
1 0
#说着便叫香菱．只听帘栊响处，方才和金钏顽的那个小丫头进来了，问：   |||  小丫头  ||| 
1 0
#正说着，只见香菱笑嘻嘻的走来．周瑞家的便拉了他的手，细细的看了一会，因向金钏儿笑道：   |||  周瑞家的  ||| 
1 0
#周瑞家的又问香菱：   |||  周瑞家的  ||| 
1 0
#又问：   |||  又  ||| 
0 1
#香菱听问，都摇头说：   |||  香菱  ||| 
1 0
#周瑞家的答应了，因说：   |||  周瑞家的  ||| 
1 0
#周瑞家的听了，便往这边屋里来．只见惜春正同水月庵的小姑子智能儿一处顽耍呢，见周瑞家的进来，惜春便问他何事．周瑞家的便将花匣打开，说明原故．惜春笑道：   |||  惜春  ||| 周瑞家的惜春
1 0
#一面早伸手接过来了．开匣看时，原来是宫制堆纱新巧的假花儿．黛玉只就宝玉手中看了一看，便问道：   |||  黛玉  ||| 
1 0
#周瑞家的听了，一声儿不言语．宝玉便问道：   |||  宝玉  ||| 周瑞家的宝玉
1 0
#王夫人点头．凤姐又道：   |||  凤姐  ||| 王夫人凤姐
1 0
#宝玉听了，即便下炕要走．尤氏凤姐都忙说：   |||  尤氏凤姐  ||| 宝玉尤氏凤姐
1 0
#那宝玉自见了秦钟的人品出众，心中似有所失，痴了半日，自己心中又起了呆意，乃自思道：   |||  宝玉  ||| 
1 0
#一时凤姐尤氏又打发人来问宝玉：   |||  凤姐尤氏  ||| 
1 0
#说着，因问：   |||  说  ||| 
0 1
#地下众人都应道：   |||  众人  ||| 
1 0
#凤姐起身告辞，和宝玉携手同行．尤氏等送至大厅，只见灯烛辉煌，众小厮都在丹墀侍立．那焦大又恃贾珍不在家，即在家亦不好怎样他，更可以任意洒落洒落．因趁着酒兴，先骂大总管赖二，说他不公道，欺软怕硬，"有了好差事就派别人，象这等黑更半夜送人的事，就派我．没良心的王八羔子！瞎充管家！你也不想想，焦大太爷跷跷脚，比你的头还高呢．二十年头里的焦大太爷眼里有谁？别说你们这一起杂种王八羔子们！"正骂的兴头上，贾蓉送凤姐的车出去，众人喝他不听，贾蓉忍不得，便骂了他两句，使人捆起来，"等明日酒醒了，问他还寻死不寻死了！"那焦大那里把贾蓉放在眼里，反大叫起来，赶着贾蓉叫：   |||  焦大  ||| 凤姐焦大赖
1 0
#众小厮见他太撒野了，只得上来几个，揪翻捆倒，拖往马圈里去．焦大越发连贾珍都说出来，乱嚷乱叫说：   |||  焦大  ||| 
1 0
#却说宝玉因送贾母回来，待贾母歇了中觉，意欲还去看戏取乐，又恐扰的秦氏等人不便，因想起近日薛宝钗在家养病，未去亲候，意欲去望他一望．若从上房后角门过去，又恐遇见别事缠绕，再或可巧遇见他父亲，更为不妥，宁可绕远路罢了．当下众嬷嬷丫鬟伺候他换衣服，见他不换，仍出二门去了，众嬷嬷丫鬟只得跟随出来，还只当他去那府中看戏．谁知到穿堂，便向东向北绕厅后而去．偏顶头遇见了门下清客相公詹光单聘仁二人走来，一见了宝玉，便都笑着赶上来，一个抱住腰，一个携着手，都道：   |||  詹光单聘仁  ||| 秦氏等人清客相公詹光单聘仁二人
1 0
#二人点头道：   |||  二人  ||| 
1 0
#一面说，一面走了．说的宝玉也笑了．于是转弯向北奔梨香院来．可巧银库房的总领名唤吴新登与仓上的头目名戴良，还有几个管事的头目，共有七个人，从帐房里出来，一见了宝玉，赶来都一齐垂手站住．独有一个买办名唤钱华，因他多日未见宝玉，忙上来打千儿请安，宝玉忙含笑携他起来．众人都笑说：   |||  众人  ||| 宝玉众人
1 0
#闲言少述，且说宝玉来至梨香院中，先入薛姨妈室中来，正见薛姨妈打点针黹与丫鬟们呢．宝玉忙请了安，薛姨妈忙一把拉了他，抱入怀内，笑说：   |||  宝玉  ||| 薛姨妈
0 1
#宝玉听说，忙下了炕来至里间门前，只见吊着半旧的红н软帘．宝玉掀帘一迈步进去，先就看见薛宝钗坐在炕上作针线，头上挽着漆黑油光的シ儿，蜜合色棉袄，玫瑰紫二色金银鼠比肩褂，葱黄绫棉裙，一色半新不旧，看去不觉奢华．唇不点而红，眉不画而翠，脸若银盆，眼如水杏．罕言寡语，人谓藏愚，安分随时，自云守拙．宝玉一面看，一面问：   |||  宝玉  ||| 宝玉宝玉
1 0
#念了两遍，乃回头向莺儿笑道：   |||  念  ||| 
0 1
#宝玉此时与宝钗就近，只闻一阵阵凉森森甜丝丝的幽香，竟不知系何香气，遂问：   |||  宝玉  ||| 
1 0
#一语未了，忽听外面人说：   |||  外面人  ||| 
1 0
#话犹未了，林黛玉已摇摇的走了进来，一见了宝玉，便笑道：   |||  林黛玉  ||| 
1 0
#宝玉的奶母李嬷嬷因说道：   |||  李嬷嬷  ||| 
1 0
#薛姨妈便令人去灌了最上等的酒来．李嬷嬷便上来道：   |||  李嬷嬷  ||| 薛姨妈李嬷嬷
1 0
#一面令小丫鬟：   |||  小  ||| 
0 1
#宝玉听这话，知是黛玉借此奚落他，也无回复之词，只嘻嘻的笑两阵罢了．宝钗素知黛玉是如此惯了的，也不去睬他．薛姨妈因道：   |||  薛姨妈因  ||| 宝玉薛姨妈
0 0
#说话时，宝玉已是三杯过去．李嬷嬷又上来拦阻．宝玉正在心甜意洽之时，和宝黛姊妹说说笑笑的，那肯不吃．宝玉只得屈意央告：   |||  宝玉  ||| 李嬷嬷宝玉
1 0
#宝玉听了这话，便心中大不自在，慢慢的放下酒，垂了头．黛玉先忙的说：   |||  黛玉  ||| 宝玉黛玉
1 0
#一面悄推宝玉，使他赌气，一面悄悄的咕哝说：   |||  宝玉  ||| 
0 1
#那李嬷嬷不知黛玉的意思，因说道：   |||  李嬷嬷  ||| 
1 0
#因命：   |||  因  ||| 
0 1
#宝玉忙就近前来．黛玉用手整理，轻轻笼住束发冠，将笠沿掖在抹额之上，将那一颗核桃大的绛绒簪缨扶起，颤巍巍露于笠外．整理已毕，端相了端相，说道：   |||  黛玉  ||| 宝玉黛玉
1 0
#宝玉听了，方接了斗篷披上．薛姨妈忙道：   |||  薛姨妈  ||| 宝玉薛姨妈
1 0
#众人不敢直说家去了，只说：   |||  众人  ||| 
1 0
#说着又问：   |||  说  ||| 
0 1
#晴雯向里间炕上努嘴．宝玉一看，只见袭人和衣睡着在那里．宝玉笑道：   |||  宝玉  ||| 晴雯宝玉
1 0
#因又问晴雯道：   |||  因  ||| 
0 1
#一面又安慰宝玉道：   |||  宝玉  ||| 
0 1
#次日醒来，就有人回：   |||  有人  ||| 
1 0
#宝玉忙接了出去，领了拜见贾母．贾母见秦钟形容标致，举止温柔，堪陪宝玉读书，心中十分欢喜，便留茶留饭，又命人带去见王夫人等．众人因素爱秦氏，今见了秦钟是这般人品，也都欢喜，临去时都有表礼．贾母又与了一个荷包并一个金魁星，取"文星和合"之意．又嘱咐他道：   |||  贾母  ||| 宝玉
1 0
#袭人说一句，宝玉应一句．袭人又道：   |||  袭人  ||| 袭人袭人
1 0
#原来这学中虽都是本族人丁与些亲戚的子弟，俗语说的好：   |||  俗语  ||| 
1 0
