此开卷第一回也．作者自云：因曾历过一番梦幻之后，故将真事隐去，而借"通灵"之说，撰此《石头记》一书也．故曰"甄士隐"云云．但书中所记何事何人？自又云：  |||  作者
陋室空堂，当年笏满床，衰草枯杨，曾为歌舞场．蛛丝儿结满雕梁，绿纱今又糊在蓬窗上．说什么脂正浓，粉正香，如何两鬓又成霜？昨日黄土陇头送白骨，今宵红灯帐底卧鸳鸯．金满箱，银满箱，展眼乞丐人皆谤．正叹他人命不长，那知自己归来丧！训有方，保不定日后作强梁．择膏粱，谁承望流落在烟花巷！因嫌纱帽小，致使锁枷杠，昨怜破袄寒，今嫌紫蟒长：乱烘烘你方唱罢我登场，反认他乡是故乡．甚荒唐，到头来都是为他人作嫁衣裳！那疯跛道人听了，拍掌笑道：  |||  疯跛道人
这日，那甄家大丫鬟在门前买线，忽听街上喝道之声，众人都说新太爷到任．丫鬟于是隐在门内看时，只见军牢快手，一对一对的过去，俄而大轿抬着一个乌帽猩袍的官府过去．丫鬟倒发了个怔，自思这官好面善，倒象在那里见过的．于是进入房中，也就丢过不在心上．至晚间，正待歇息之时，忽听一片声打的门响，许多人乱嚷，说：  |||  许多人
却说封肃因听见公差传唤，忙出来陪笑启问．那些人只嚷：  |||  那些人
封肃忙陪笑道：  |||  封肃
那些公人道：  |||  那些公人
那天约二更时，只见封肃方回来，欢天喜地．众人忙问端的．他乃说道：  |||  封肃
身后有余忘缩手，眼前无路想回头．雨村看了，因想到：  |||  雨村
雨村不耐烦，便仍出来，意欲到那村肆中沽饮三杯，以助野趣，于是款步行来．将入肆门，只见座上吃酒之客有一人起身大笑，接了出来，口内说：  |||  有一人
雨村忙看时，此人是都中在古董行中贸易的号冷子兴者，旧日在都相识．雨村最赞这冷子兴是个有作为大本领的人，这子兴又借雨村斯文之名，故二人说话投机，最相契合．雨村忙笑问道：  |||  雨村
子兴道：  |||  子兴
雨村因问：  |||  雨村
子兴道：  |||  子兴
雨村笑道：  |||  雨村
子兴笑道：  |||  子兴
雨村问是谁家．子兴道：  |||  子兴
雨村笑道：  |||  雨村
子兴叹道：  |||  子兴
雨村道：  |||  雨村
冷子兴道：  |||  冷子兴
雨村道：  |||  雨村
冷子兴笑道：  |||  冷子兴
雨村听说，也纳罕道：  |||  雨村
子兴叹道：  |||  子兴
雨村笑道：  |||  雨村
子兴冷笑道：  |||  子兴
  |||  empty
雨村罕然厉色忙止道：  |||  雨村
子兴见他说得这样重大，忙请教其端．雨村道：  |||  雨村
子兴道：  |||  子兴
雨村道：  |||  雨村
子兴道：  |||  子兴
雨村笑道：  |||  雨村
子兴道：  |||  子兴
  |||  empty
子兴道：  |||  子兴
雨村拍案笑道：  |||  雨村
子兴叹道：  |||  子兴
雨村道：  |||  雨村
子兴道：  |||  子兴
雨村听了，笑道：  |||  雨村
子兴道：  |||  子兴
雨村道：  |||  雨村
子兴笑道：  |||  子兴
雨村向窗外看道：  |||  雨村
于是，二人起身，算还酒帐．方欲走时，又听得后面有人叫道：  |||  有人
次日，面谋之如海．如海道：  |||  如海
雨村一面打恭，谢不释口，一面又问：  |||  雨村
如海笑道：  |||  如海
雨村听了，心下方信了昨日子兴之言，于是又谢了林如海．如海乃说：  |||  如海
那女学生黛玉，身体方愈，原不忍弃父而往，无奈他外祖母致意务去，且兼如海说：  |||  如海
且说黛玉自那日弃舟登岸时，便有荣国府打发了轿子并拉行李的车辆久候了．这林黛玉常听得母亲说过，他外祖母家与别家不同．他近日所见的这几个三等仆妇，吃穿用度，已是不凡了，何况今至其家．因此步步留心，时时在意，不肯轻易多说一句话，多行一步路，惟恐被人耻笑了他去．自上了轿，进入城中从纱窗向外瞧了一瞧，其街市之繁华，人烟之阜盛，自与别处不同．又行了半日，忽见街北蹲着两个大石狮子，三间兽头大门，门前列坐着十来个华冠丽服之人．正门却不开，只有东西两角门有人出入．正门之上有一匾，匾上大书"敕造宁国府"五个大字．黛玉想道：这必是外祖之长房了．想着，又往西行，不多远，照样也是三间大门，方是荣国府了．却不进正门，只进了西边角门．那轿夫抬进去，走了一射之地，将转弯时，便歇下退出去了．后面的婆子们已都下了轿，赶上前来．另换了三四个衣帽周全十七八岁的小厮上来，复抬起轿子．众婆子步下围随至一垂花门前落下．众小厮退出，众婆子上来打起轿帘，扶黛玉下轿．林黛玉扶着婆子的手，进了垂花门，两边是抄手游廊，当中是穿堂，当地放着一个紫檀架子大理石的大插屏．转过插屏，小小的三间厅，厅后就是后面的正房大院．正面五间上房，皆雕梁画栋，两边穿山游廊厢房，挂着各色鹦鹉，画眉等鸟雀．台矶之上，坐着几个穿红着绿的丫头，一见他们来了，便忙都笑迎上来，说：  |||  几个穿红着绿的丫头
于是三四人争着打起帘笼，一面听得人回话：  |||  人
黛玉方进入房时，只见两个人搀着一位鬓发如银的老母迎上来，黛玉便知是他外祖母．方欲拜见时，早被他外祖母一把搂入怀中，心肝儿肉叫着大哭起来．当下地下侍立之人，无不掩面涕泣，黛玉也哭个不住．一时众人慢慢解劝住了，黛玉方拜见了外祖母．____此即冷子兴所云之史氏太君，贾赦贾政之母也．当下贾母一一指与黛玉：  |||  贾母
黛玉一一拜见过．贾母又说：  |||  贾母
不一时，只见三个奶嬷嬷并五六个丫鬟，簇拥着三个姊妹来了．第一个肌肤微丰，合中身材，腮凝新荔，鼻腻鹅脂，温柔沉默，观之可亲．第二个削肩细腰，长挑身材，鸭蛋脸面，俊眼修眉，顾盼神飞，文彩精华，见之忘俗．第三个身量未足，形容尚小．其钗环裙袄，三人皆是一样的妆饰．黛玉忙起身迎上来见礼，互相厮认过，大家归了坐．丫鬟们斟上茶来．不过说些黛玉之母如何得病，如何请医服药，如何送死发丧．不免贾母又伤感起来，因说：  |||  贾母
众人见黛玉年貌虽小，其举止言谈不俗，身体面庞虽怯弱不胜，却有一段自然的风流态度，便知他有不足之症．因问：  |||  众人
黛玉道：  |||  黛玉
一语未了，只听后院中有人笑声，说：  |||  有人
黛玉纳罕道：  |||  黛玉
心下想时，只见一群媳妇丫鬟围拥着一个人从后房门进来．这个人打扮与众姑娘不同，彩绣辉煌，恍若神妃仙子：头上戴着金丝八宝攒珠髻，绾着朝阳五凤挂珠钗，项上戴着赤金盘螭璎珞圈，裙边系着豆绿宫绦，双衡比目玫瑰佩，身上穿着缕金百蝶穿花大红洋缎窄Ё袄，外罩五彩刻丝石青银鼠褂，下着翡翠撒花洋绉裙．一双丹凤三角眼，两弯柳叶吊梢眉，身量苗条，体格风骚，粉面含春威不露，丹唇未起笑先闻．黛玉连忙起身接见．贾母笑道，"你不认得他，他是我们这里有名的一个泼皮破落户儿，南省俗谓作`辣子-，你只叫他`凤辣子-就是了。”黛玉正不知以何称呼，只见众姊妹都忙告诉他道：  |||  众姊妹
黛玉虽不识，也曾听见母亲说过，大舅贾赦之子贾琏，娶的就是二舅母王氏之内侄女，自幼假充男儿教养的，学名王熙凤．黛玉忙陪笑见礼，以"嫂"呼之．这熙凤携着黛玉的手，上下细细打谅了一回，仍送至贾母身边坐下，因笑道：  |||  熙凤
说着，便用帕拭泪．贾母笑道：  |||  贾母
这熙凤听了，忙转悲为喜道：  |||  熙凤
又忙携黛玉之手，问：  |||  又忙携黛玉
一面又问婆子们：  |||  一面又问婆子们
说话时，已摆了茶果上来．熙凤亲为捧茶捧果．又见二舅母问他：  |||  二舅母
熙凤道：  |||  熙凤
王夫人道：  |||  王夫人
因又说道：  |||  又说道：
熙凤道：  |||  熙凤
当下茶果已撤，贾母命两个老嬷嬷带了黛玉去见两个母舅．时贾赦之妻邢氏忙亦起身，笑回道：  |||  邢氏
贾母笑道：  |||  贾母
邢夫人答应了一声"是"字，遂带了黛玉与王夫人作辞，大家送至穿堂前．出了垂花门，早有众小厮们拉过一辆翠幄青н车*，邢夫人携了黛玉，坐在上面，众婆子们放下车帘，方命小厮们抬起，拉至宽处，方驾上驯骡，亦出了西角门，往东过荣府正门，便入一黑油大门中，至仪门前方下来．众小厮退出，方打起车帘，邢夫人搀着黛玉的手，进入院中．黛玉度其房屋院宇，必是荣府中花园隔断过来的．进入三层仪门，果见正房厢庑游廊，悉皆小巧别致，不似方才那边轩峻壮丽，且院中随处之树木山石皆在．一时进入正室，早有许多盛妆丽服之姬妾丫鬟迎着，邢夫人让黛玉坐了，一面命人到外面书房去请贾赦．一时人来回话说：  |||  众婆子们
黛玉忙站起来，一一听了．再坐一刻，便告辞．邢夫人苦留吃过晚饭去，黛玉笑回道：  |||  黛玉
邢夫人听说，笑道：  |||  邢夫人
一时黛玉进了荣府，下了车．众嬷嬷引着，便往东转弯，穿过一个东西的穿堂，向南大厅之后，仪门内大院落，上面五间大正房，两边厢房鹿顶耳房钻山，四通八达，轩昂壮丽，比贾母处不同．黛玉便知这方是正经正内室，一条大甬路，直接出大门的．进入堂屋中，抬头迎面先看见一个赤金九龙青地大匾，匾上写着斗大的三个大字，是"荣禧堂"，后有一行小字：  |||  小
座上珠玑昭日月，堂前黼黻焕烟霞．下面一行小字，道是：  |||  珠玑
茶未吃了，只见一个穿红绫袄青缎掐牙背心的丫鬟走来笑说道：  |||  丫鬟
老嬷嬷听了，于是又引黛玉出来，到了东廊三间小正房内．正房炕上横设一张炕桌，桌上磊着书籍茶具，靠东壁面西设着半旧的青缎靠背引枕．王夫人却坐在西边下首，亦是半旧的青缎靠背坐褥．见黛玉来了，便往东让．黛玉心中料定这是贾政之位．因见挨炕一溜三张椅子上，也搭着半旧的弹墨椅袱，黛玉便向椅上坐了．王夫人再四携他上炕，他方挨王夫人坐了．王夫人因说：  |||  王夫人
黛玉亦常听得母亲说过，二舅母生的有个表兄，乃衔玉而诞，顽劣异常，极恶读书，最喜在内帏厮混，外祖母又极溺爱，无人敢管．今见王夫人如此说，便知说的是这表兄了．因陪笑道：  |||  黛玉
王夫人笑道：  |||  王夫人
黛玉一一的都答应着．只见一个丫鬟来回：  |||  丫鬟
王夫人忙携黛玉从后房门由后廊往西，出了角门，是一条南北宽夹道．南边是倒座三间小小的抱厦厅，北边立着一个粉油大影壁，后有一半大门，小小一所房室．王夫人笑指向黛玉道：  |||  王夫人
这院门上也有四五个才总角的小厮，都垂手侍立．王夫人遂携黛玉穿过一个东西穿堂，便是贾母的后院了．于是，进入后房门，已有多人在此伺候，见王夫人来了，方安设桌椅．贾珠之妻李氏捧饭，熙凤安箸，王夫人进羹．贾母正面榻上独坐，两边四张空椅，熙凤忙拉了黛玉在左边第一张椅上坐了，黛玉十分推让．贾母笑道：  |||  贾母
黛玉方告了座，坐了．贾母命王夫人坐了．迎春姊妹三个告了座方上来．迎春便坐右手第一，探春左第二，惜春右第二．旁边丫鬟执着拂尘，漱盂，巾帕．李，凤二人立于案旁布让．外间伺候之媳妇丫鬟虽多，却连一声咳嗽不闻．寂然饭毕，各有丫鬟用小茶盘捧上茶来．当日林如海教女以惜福养身，云饭后务待饭粒咽尽，过一时再吃茶，方不伤脾胃．今黛玉见了这里许多事情不合家中之式，不得不随的，少不得一一改过来，因而接了茶．早见人又捧过漱盂来，黛玉也照样漱了口．プ手毕，又捧上茶来，这方是吃的茶．贾母便说：  |||  贾母
王夫人听了，忙起身，又说了两句闲话，方引凤，李二人去了．贾母因问黛玉念何书．黛玉道：  |||  黛玉
黛玉又问姊妹们读何书．贾母道：  |||  贾母
一语未了，只听外面一阵脚步响，丫鬟进来笑道：  |||  丫鬟
黛玉心中正疑惑着：  |||  黛玉
____倒不见那蠢物也罢了．心中想着，忽见丫鬟话未报完，已进来了一位年轻的公子：头上戴着束发嵌宝紫金冠，齐眉勒着二龙抢珠金抹额，穿一件二色金百蝶穿花大红箭袖，束着五彩丝攒花结长穗宫绦，外罩石青起花八团倭锻排穗褂，登着青缎粉底小朝靴．面若中秋之月，色如春晓之花，鬓若刀裁，眉如墨画，面如桃瓣，目若秋波．虽怒时而若笑，即?视而有情．项上金螭璎珞，又有一根五色丝绦，系着一块美玉．黛玉一见，便吃一大惊，心下想道：  |||  黛玉
只见这宝玉向贾母请了安，贾母便命：  |||  贾母
贾母因笑道：  |||  贾母
宝玉早已看见多了一个姊妹，便料定是林姑妈之女，忙来作揖．厮见毕归坐，细看形容，与众各别：两弯似蹙非蹙ズ烟眉，一双似喜非喜含情目．态生两ь之愁，娇袭一身之病．泪光点点，娇喘微微．闲静时如姣花照水，行动处似弱柳扶风．心较比干多一窍，病如西子胜三分．宝玉看罢，因笑道：  |||  宝玉
贾母笑道：  |||  贾母
宝玉笑道：  |||  宝玉
贾母笑道：  |||  贾母
宝玉便走近黛玉身边坐下，又细细打量一番，因问：  |||  宝玉
黛玉道：  |||  黛玉
宝玉又道：  |||  宝玉
黛玉便说了名．宝玉又问表字．黛玉道：  |||  黛玉
宝玉笑道：  |||  宝玉
探春便问何出．宝玉道：  |||  宝玉
探春笑道：  |||  探春
宝玉笑道：  |||  宝玉
又问黛玉：  |||  问黛玉
众人不解其语，黛玉便忖度着因他有玉，故问我有也无，因答道：  |||  黛玉
宝玉听了，登时发作起痴狂病来，摘下那玉，就狠命摔去，骂道：  |||  宝玉
吓的众人一拥争去拾玉．贾母急的搂了宝玉道：  |||  贾母
宝玉满面泪痕泣道：  |||  宝玉
贾母忙哄他道：  |||  贾母
当下，奶娘来请问黛玉之房舍．贾母说：  |||  贾母
宝玉道：  |||  宝玉
贾母想了一想说：  |||  贾母
是晚，宝玉李嬷嬷已睡了，他见里面黛玉和鹦哥犹未安息，他自卸了妆，悄悄进来，笑问：  |||  他
黛玉忙让：  |||  黛玉
袭人在床沿上坐了．鹦哥笑道：  |||  鹦哥
．袭人道：  |||  袭人
黛玉道：  |||  黛玉
袭人道：  |||  袭人
黛玉忙止道：  |||  黛玉
如今且说雨村，因补授了应天府，一下马就有一件人命官司详至案下，乃是两家争买一婢，各不相让，以至殴伤人命．彼时雨村即传原告之人来审．那原告道：  |||  原告
雨村听了大怒道：  |||  雨村
因发签差公人立刻将凶犯族中人拿来拷问，令他们实供藏在何处，一面再动海捕文书．正要发签时，只见案边立的一个门子使眼色儿，____不令他发签之意．雨村心下甚为疑怪，只得停了手，即时退堂，至密室，侍从皆退去，只留门子服侍．这门子忙上来请安，笑问：  |||  门子
雨村道：  |||  雨村
那门子笑道：  |||  门子
雨村听了，如雷震一惊，方想起往事．原来这门子本是葫芦庙内一个小沙弥，因被火之后，无处安身，欲投别庙去修行，又耐不得清凉景况，因想这件生意倒还轻省热闹，遂趁年纪蓄了发，充了门子．雨村那里料得是他，便忙携手笑道：  |||  雨村
又让坐了好谈．这门子不敢坐．雨村笑道：  |||  雨村
雨村因问方才何故有不令发签之意．这门子道：  |||  门子
雨村忙问：  |||  雨村
门子道：  |||  门子
雨村犹未看完，忽听传点，人报：  |||  人
雨村听说，忙具衣冠出去迎接．有顿饭工夫，方回来细问．这门子道：  |||  门子
雨村听如此说，便笑问门子道：  |||  雨村
门子笑道：  |||  门子
雨村笑道：  |||  雨村
门子冷笑道：  |||  门子
雨村罕然道：  |||  雨村
门子道：  |||  门子
雨村听了，亦叹道：  |||  雨村
门子笑道：  |||  门子
雨村道：  |||  雨村
门子听了，冷笑道：  |||  门子
雨村低了半日头，方说道：  |||  雨村
门子道：  |||  门子
雨村笑道：  |||  雨村
在路不记其日．那日已将入都时，却又闻得母舅王子腾升了九省统制，奉旨出都查边．薛蟠心中暗喜道：  |||  薛蟠
因和母亲商议道：  |||  因和母亲
他母亲道：  |||  母亲
薛蟠道：  |||  薛蟠
他母亲道：  |||  母亲
那时王夫人已知薛蟠官司一事，亏贾雨村维持了结，才放了心．又见哥哥升了边缺，正愁又少了娘家的亲戚来往，略加寂寞．过了几日，忽家人传报：  |||  家人
薛蟠已拜见过贾政，贾琏又引着拜见了贾赦，贾珍等．贾政便使人上来对王夫人说：  |||  人
王夫人未及留，贾母也就遣人来说：  |||  贾母
等语．薛姨妈正要同居一处，方可拘紧些儿子，若另住在外，又恐他纵性惹祸，遂忙道谢应允．又私与王夫人说明：  |||  薛姨妈
一时宝玉倦怠，欲睡中觉，贾母命人好生哄着，歇一回再来．贾蓉之妻秦氏便忙笑回道：  |||  秦氏
又向宝玉的奶娘丫鬟等道：  |||  丫鬟等
世事洞明皆学问，人情练达即文章．及看了这两句，纵然室宇精美，铺陈华丽，亦断断不肯在这里了，忙说：  |||  人
秦氏听了笑道：  |||  秦氏
宝玉点头微笑．有一个嬷嬷说道：  |||  嬷嬷
秦氏笑道：  |||  秦氏
宝玉道：  |||  宝玉
众人笑道：  |||  众人
嫩寒锁梦因春冷，芳气笼人是酒香．案上设着武则天当日镜室中设的宝镜，一边摆着飞燕立着舞过的金盘，盘内盛着安禄山掷过伤了太真乳的木瓜．上面设着寿昌公主于含章殿下卧的榻，悬的是同昌公主制的联珠帐．宝玉含笑连说：  |||  宝玉
秦氏笑道：  |||  秦氏
那宝玉刚合上眼，便惚惚的睡去，犹似秦氏在前，遂悠悠荡荡，随了秦氏，至一所在．但见朱栏白石，绿树清溪，真是人迹希逢，飞尘不到．宝玉在梦中欢喜，想道：  |||  宝玉
宝玉见是一个仙姑，喜的忙来作揖问道：  |||  宝玉
那仙姑笑道：  |||  仙姑
假作真时真亦假，无为有处有还无．转过牌坊，便是一座宫门，上面横书四个大字，道是：  |||  宫门
宝玉看了，心下自思道：  |||  宝玉
宝玉只顾如此一想，不料早把些邪魔招入膏肓了．当下随了仙姑进入二层门内，至两边配殿，皆有匾额对联，一时看不尽许多，惟见有几处写的是：  |||  随了仙姑
，"结怨司"，"朝啼司"，"夜怨司"，"春感司"，"秋悲司"．看了，因向仙姑道：  |||  春
仙姑道：  |||  仙姑
宝玉听了，那里肯依，复央之再四．仙姑无奈，说：  |||  仙姑
宝玉看了，便知感叹．进入门来，只见有十数个大厨，皆用封条封着．看那封条上，皆是各省的地名．宝玉一心只拣自己的家乡封条看，遂无心看别省的了．只见那边厨上封条上大书七字云：  |||  厨上封条
．宝玉问道：  |||  宝玉
警幻道：  |||  警幻
宝玉道：  |||  宝玉
警幻冷笑道：  |||  警幻
宝玉还欲看时，那仙姑知他天分高明，性情颖慧，恐把仙机泄漏，遂掩了卷册，笑向宝玉道：  |||  仙姑
宝玉恍恍惚惚，不觉弃了卷册，又随了警幻来至后面．但见珠帘绣幕，画栋雕檐，说不尽那光摇朱户金铺地，雪照琼窗玉作宫．更见仙花馥郁，异草芬芳，真好个所在．又听警幻笑道：  |||  警幻
一语未了，只见房中又走出几个仙子来，皆是荷袂蹁跹，羽衣飘舞，姣若春花，媚如秋月．一见了宝玉，都怨谤警幻道：  |||  几个仙子
宝玉听如此说，便吓得欲退不能退，果觉自形污秽不堪．警幻忙携住宝玉的手，向众姊妹道：  |||  警幻
说毕，携了宝玉入室．但闻一缕幽香，竟不知其所焚何物．宝玉遂不禁相问．警幻冷笑道：  |||  警幻
宝玉听了，自是羡慕而已．大家入座，小丫鬟捧上茶来．宝玉自觉清香异味，纯美非常，因又问何名．警幻道：  |||  警幻
幽微灵秀地，无可奈何天．宝玉看毕，无不羡慕．因又请问众仙姑姓名：一名痴梦仙姑，一名钟情大士，一名引愁金女，一名度恨菩提，各各道号不一．少刻，有小丫鬟来调桌安椅，设摆酒馔．真是：琼浆满泛玻璃盏，玉液浓斟琥珀杯．更不用再说那肴馔之盛．宝玉因闻得此酒清香甘冽，异乎寻常，又不禁相问．警幻道：  |||  警幻
饮酒间，又有十二个舞女上来，请问演何词曲．警幻道：  |||  警幻
开辟鸿蒙……方歌了一句，警幻便说道：  |||  警幻
歌毕，还要歌副曲．警幻见宝玉甚无趣味，因叹：  |||  警幻
那宝玉忙止歌姬不必再唱，自觉朦胧恍惚，告醉求卧．警幻便命撤去残席，送宝玉至一香闺绣阁之中，其间铺陈之盛，乃素所未见之物．更可骇者，早有一位女子在内，其鲜艳妩媚，有似乎宝钗，风流袅娜，则又如黛玉．正不知何意，忽警幻道：  |||  警幻
宝玉听了，唬的忙答道：  |||  宝玉
警幻道：  |||  警幻
那宝玉恍恍惚惚，依警幻所嘱之言，未免有儿女之事，难以尽述．至次日，便柔情缱绻，软语温存，与可卿难解难分．因二人携手出去游顽之时，忽至一个所在，但见荆榛遍地，狼虎同群，迎面一道黑溪阻路，并无桥梁可通．正在犹豫之间，忽见警幻后面追来，告道：  |||  警幻
宝玉忙止步问道：  |||  宝玉
警幻道：  |||  警幻
话犹未了，只听迷津内水响如雷，竟有许多夜叉海鬼将宝玉拖将下去．吓得宝玉汗下如雨，一面失声喊叫：  |||  宝玉
吓得袭人辈众丫鬟忙上来搂住，叫：  |||  袭人
却说秦氏正在房外嘱咐小丫头们好生看着猫儿狗儿打架，忽听宝玉在梦中唤他的小名，因纳闷道：  |||  秦氏
袭人忙趁众奶娘丫鬟不在旁时，另取出一件中衣来与宝玉换上．宝玉含羞央告道：  |||  宝玉
袭人亦含羞笑问道：  |||  袭人
宝玉道：  |||  宝玉
按荣府中一宅人合算起来，人口虽不多，从上至下也有三四百丁，虽事不多，一天也有一二十件，竟如乱麻一般，并无个头绪可作纲领．正寻思从那一件事自那一个人写起方妙，恰好忽从千里之外，芥щ之微，小小一个人家，因与荣府略有些瓜葛，这日正往荣府中来，因此便就此一家说来，倒还是头绪．你道这一家姓甚名谁，又与荣府有甚瓜葛？且听细讲．方才所说的这小小之家，乃本地人氏，姓王，祖上曾作过小小的一个京官，昔年与凤姐之祖王夫人之父认识．因贪王家的势利，便连了宗认作侄儿．那时只有王夫人之大兄凤姐之父与王夫人随在京中的，知有此一门连宗之族，余者皆不认识．目今其祖已故，只有一个儿子，名唤王成，因家业萧条，仍搬出城外原乡中住去了．王成新近亦因病故，只有其子，小名狗儿．狗儿亦生一子，小名板儿，嫡妻刘氏，又生一女，名唤青儿．一家四口，仍以务农为业．因狗儿白日间又作些生计，刘氏又操井臼等事，青板姊妹两个无人看管，狗儿遂将岳母刘姥姥接来一处过活．这刘姥姥乃是个积年的老寡妇，膝下又无儿女，只靠两亩薄田度日．今者女婿接来养活，岂不愿意，遂一心一计，帮趁着女儿女婿过活起来．因这年秋尽冬初，天气冷将上来，家中冬事未办，狗儿未免心中烦虑，吃了几杯闷酒，在家闲寻气恼，刘氏也不敢顶撞．因此刘姥姥看不过，乃劝道：  |||  刘姥姥
狗儿听说，便急道：  |||  狗儿
刘姥姥道：  |||  刘姥姥
狗儿冷笑道：  |||  狗儿
刘姥姥道：  |||  刘姥姥
刘氏一旁接口道：  |||  刘氏
谁知狗儿利名心最重，听如此一说，心下便有些活动起来．又听他妻子这话，便笑接道：  |||  狗
刘姥姥道：  |||  刘姥姥
狗儿笑道：  |||  狗儿
刘姥姥道：  |||  刘姥姥
次日天未明，刘姥姥便起来梳洗了，又将板儿教训了几句．那板儿才五六岁的孩子，一无所知，听见刘姥姥带他进城逛去，便喜的无不应承．于是刘姥姥带他进城，找至宁荣街．来至荣府大门石狮子前，只见簇簇轿马，刘姥姥便不敢过去，且掸了掸衣服，又教了板儿几句话，然后蹭到角门前．只见几个挺胸叠肚指手画脚的人，坐在大板凳上，说东谈西呢．刘姥姥只得蹭上来问：  |||  刘姥姥
众人打量了他一会，便问"那里来的？"刘姥姥陪笑道：  |||  刘姥姥
那些人听了，都不瞅睬，半日方说道：  |||  那些人
内中有一老年人说道：  |||  老年人
